stage=pretrain mode=tied params=4.34M device=cuda:0 world=2 per_gpu_batch=256 effective_batch=512
epoch=87/400 train_loss=0.0050 val_loss=1.9587 val_acc1=55.302 best=55.302 lr=8.913e-04 sec=1864.3
epoch=88/400 train_loss=0.0049 val_loss=1.9516 val_acc1=55.306 best=55.306 lr=8.889e-04 sec=1868.5
epoch=89/400 train_loss=0.0049 val_loss=1.9446 val_acc1=55.512 best=55.512 lr=8.864e-04 sec=1865.3
epoch=90/400 train_loss=0.0049 val_loss=1.9726 val_acc1=55.214 best=55.512 lr=8.839e-04 sec=1865.0
epoch=91/400 train_loss=0.0049 val_loss=1.9504 val_acc1=55.536 best=55.536 lr=8.814e-04 sec=1876.2
epoch=92/400 train_loss=0.0049 val_loss=1.9595 val_acc1=55.540 best=55.540 lr=8.789e-04 sec=1867.2
epoch=93/400 train_loss=0.0049 val_loss=1.9391 val_acc1=55.560 best=55.560 lr=8.763e-04 sec=1862.0
epoch=94/400 train_loss=0.0049 val_loss=1.9593 val_acc1=55.482 best=55.560 lr=8.737e-04 sec=1865.8
epoch=95/400 train_loss=0.0049 val_loss=1.9640 val_acc1=55.680 best=55.680 lr=8.711e-04 sec=1869.0
epoch=96/400 train_loss=0.0049 val_loss=1.9072 val_acc1=56.266 best=56.266 lr=8.685e-04 sec=1867.2
epoch=97/400 train_loss=0.0049 val_loss=1.9410 val_acc1=56.078 best=56.266 lr=8.658e-04 sec=1932.8
epoch=98/400 train_loss=0.0049 val_loss=1.9123 val_acc1=56.612 best=56.612 lr=8.632e-04 sec=1901.6
epoch=99/400 train_loss=0.0049 val_loss=1.9030 val_acc1=56.374 best=56.612 lr=8.605e-04 sec=1892.8
epoch=100/400 train_loss=0.0048 val_loss=1.8846 val_acc1=56.574 best=56.612 lr=8.578e-04 sec=1895.2
epoch=101/400 train_loss=0.0049 val_loss=1.8966 val_acc1=56.822 best=56.822 lr=8.550e-04 sec=1899.1
epoch=102/400 train_loss=0.0049 val_loss=1.8996 val_acc1=56.762 best=56.822 lr=8.523e-04 sec=1890.9
epoch=103/400 train_loss=0.0049 val_loss=1.8761 val_acc1=57.038 best=57.038 lr=8.495e-04 sec=1885.0
epoch=104/400 train_loss=0.0048 val_loss=1.8695 val_acc1=57.074 best=57.074 lr=8.467e-04 sec=1882.2
epoch=105/400 train_loss=0.0048 val_loss=1.8499 val_acc1=57.210 best=57.210 lr=8.439e-04 sec=1879.3
epoch=106/400 train_loss=0.0048 val_loss=1.8691 val_acc1=57.286 best=57.286 lr=8.410e-04 sec=1885.0
epoch=107/400 train_loss=0.0048 val_loss=1.8802 val_acc1=57.020 best=57.286 lr=8.381e-04 sec=1917.1
epoch=108/400 train_loss=0.0048 val_loss=1.8515 val_acc1=57.586 best=57.586 lr=8.353e-04 sec=1891.0
epoch=109/400 train_loss=0.0048 val_loss=1.8596 val_acc1=57.314 best=57.586 lr=8.323e-04 sec=1907.6
epoch=110/400 train_loss=0.0048 val_loss=1.8750 val_acc1=57.162 best=57.586 lr=8.294e-04 sec=1871.9
epoch=111/400 train_loss=0.0048 val_loss=1.8189 val_acc1=58.020 best=58.020 lr=8.265e-04 sec=1870.1
epoch=112/400 train_loss=0.0048 val_loss=1.8174 val_acc1=58.078 best=58.078 lr=8.235e-04 sec=1868.7
epoch=113/400 train_loss=0.0048 val_loss=1.8243 val_acc1=57.664 best=58.078 lr=8.205e-04 sec=1882.9
epoch=114/400 train_loss=0.0048 val_loss=1.8056 val_acc1=58.168 best=58.168 lr=8.175e-04 sec=1883.8
